,location,variable,value,sample_class,sample,Omicron_frac,Omicron_frac_calibrated,batch
209,6,BA.1,0.2001675104748948,Illumina,illumina_31581,0.5,0.40747999999999995,batch3
210,6,B.1.617.2,0.7666199714128736,Flongle,flongle_31585,0.5,0.40747999999999995,batch3
211,6,BA.1,0.0924656965482659,Flongle,flongle_31585,0.5,0.40747999999999995,batch3
212,6,B.1.617.2,0.8403579195667191,MinION,minION_31582,0.5,0.40747999999999995,batch3
213,6,BA.1,0.1049902202126874,MinION,minION_31582,0.5,0.40747999999999995,batch3
214,6,B.1.617.2,0.7816103010430355,Aviti,aviti_31581,0.5,0.40747999999999995,batch3
215,6,BA.1,0.2007484033345141,Aviti,aviti_31581,0.5,0.40747999999999995,batch3
216,7,B.1.617.2,0.9336386602910136,Illumina,illumina_31441,0.25,0.18648,batch1
217,7,BA.1,0.0302696476054136,Illumina,illumina_31441,0.25,0.18648,batch1
218,7,B.1.617.2,0.733563644583252,Flongle,flongle_31583,0.25,0.18648,batch1
219,7,BA.1,0.0496592380327514,Flongle,flongle_31583,0.25,0.18648,batch1
220,7,B.1.617.2,0.8010601494349816,MinION,minION_31442,0.25,0.18648,batch1
221,7,BA.1,0.0532650264303251,MinION,minION_31442,0.25,0.18648,batch1
222,7,B.1.617.2,0.9359840521471672,Aviti,aviti_31441,0.25,0.18648,batch1
223,7,BA.1,0.0297763287613835,Aviti,aviti_31441,0.25,0.18648,batch1
224,7,B.1.617.2,0.8742736696600535,Illumina,illumina_31519,0.25,0.18648,batch2
225,7,BA.1,0.0179896797992959,Illumina,illumina_31519,0.25,0.18648,batch2
226,7,B.1.617.2,0.7772278736126792,Flongle,flongle_31584,0.25,0.18648,batch2
227,7,BA.1,0.0162668723450909,Flongle,flongle_31584,0.25,0.18648,batch2
228,7,B.1.617.2,0.8577548230613399,MinION,minION_31520,0.25,0.18648,batch2
229,7,BA.1,0.0180314562790075,MinION,minION_31520,0.25,0.18648,batch2
230,7,B.1.617.2,0.8859196131923994,Aviti,aviti_31519,0.25,0.18648,batch2
231,7,BA.1,0.0184169987021408,Aviti,aviti_31519,0.25,0.18648,batch2
